Date	Price	
01/18/2016	57.1
01/19/2016	57.25
01/20/2016	55.9
01/21/2016	55.8
01/22/2016	56.55
01/25/2016	57.55
01/26/2016	57
01/27/2016	57.25
01/28/2016	57.55
01/29/2016	59
01/30/2016	59.55
02/01/2016	59.55
02/02/2016	59.35
02/03/2016	58.95
02/15/2016	59
02/16/2016	60.25
02/17/2016	59.95
02/18/2016	60.9
02/19/2016	60.85
02/22/2016	60.8
02/23/2016	60.85
02/24/2016	60.3
02/25/2016	61.1
02/26/2016	61.25
03/01/2016	61.85
03/02/2016	62.35
03/03/2016	62.95
03/04/2016	63.1
03/07/2016	63.1
03/08/2016	63.05
03/09/2016	63.1
03/10/2016	63.25
03/11/2016	63.55
03/14/2016	64
03/15/2016	63.05
03/16/2016	63.6
03/17/2016	64.3
03/18/2016	64.7
03/21/2016	64.6
03/22/2016	64.4
03/23/2016	64.35
03/24/2016	64.35
03/25/2016	64.05
03/28/2016	64.1
03/29/2016	63.65
03/30/2016	64.7
03/31/2016	64.65
04/01/2016	63.9
04/06/2016	62.4
04/07/2016	62.15
04/08/2016	62.75
04/11/2016	63
04/12/2016	62.95
04/13/2016	64.05
04/14/2016	64.25
04/15/2016	64.25
04/18/2016	63.85
04/19/2016	63.6
04/20/2016	62.65
04/21/2016	62.95
04/22/2016	63.2
04/25/2016	63.25
04/26/2016	63.5
04/27/2016	63.4
04/28/2016	62.4
04/29/2016	61.6
05/03/2016	60.75
05/04/2016	60.1
05/05/2016	60.2
05/06/2016	59.7
05/09/2016	59.7
05/10/2016	60
05/11/2016	59.85
05/12/2016	59.8
05/13/2016	59.15
05/16/2016	59.6
05/17/2016	60.05
05/18/2016	59.95
05/19/2016	59.65
05/20/2016	60
05/23/2016	62
05/24/2016	61.35
05/25/2016	62
05/26/2016	62.15
05/27/2016	62.6
05/30/2016	63.15
05/31/2016	63.15
06/01/2016	63.7
06/02/2016	63.7
06/03/2016	63.85
06/04/2016	63.95
06/06/2016	64.05
06/07/2016	64.9
06/08/2016	65.25
06/13/2016	63.75
06/14/2016	64.15
06/15/2016	64.25
06/16/2016	63.35
06/17/2016	64.05
06/20/2016	64.5
06/21/2016	64.75
06/22/2016	64.95
06/23/2016	64.8
06/24/2016	63.1
06/27/2016	63.75
06/28/2016	64
06/29/2016	64.7
06/30/2016	65.45
07/01/2016	66.25
07/04/2016	66.3
07/05/2016	66.1
07/06/2016	64.9
07/07/2016	65.7
07/11/2016	67
07/12/2016	67.6
07/13/2016	67.65
07/14/2016	67.7
07/15/2016	68.5
07/18/2016	69.15
07/19/2016	69.25
07/20/2016	69.2
07/21/2016	69.55
07/22/2016	69.3
07/25/2016	69
07/26/2016	69.4
07/27/2016	69.7
07/28/2016	69.05
07/29/2016	68.55
08/01/2016	69.3
08/02/2016	69.3
08/03/2016	68.75
08/04/2016	68.9
08/05/2016	69.6
08/08/2016	70.05
08/09/2016	70.4
08/10/2016	70.6
08/11/2016	69.95
08/12/2016	70.2
08/15/2016	70.35
08/16/2016	69.95
08/17/2016	70.05
08/18/2016	69.9
08/19/2016	69.2
08/22/2016	68.7
08/23/2016	69.4
08/24/2016	69.2
08/25/2016	70
08/26/2016	70.1
08/29/2016	70.05
08/30/2016	70
08/31/2016	69.4
09/01/2016	69.05
09/02/2016	69.15
09/05/2016	70.3
09/06/2016	70.85
09/07/2016	71.85
09/08/2016	71.6
09/09/2016	70.4
09/10/2016	69.4
09/12/2016	68.85
09/13/2016	68.85
09/14/2016	68.45
09/19/2016	71
09/20/2016	70.9
09/21/2016	71.25
09/22/2016	71.4
09/23/2016	71.9
09/26/2016	71
09/29/2016	71.9
09/30/2016	70.95
10/03/2016	71.45
10/04/2016	71.75
10/05/2016	71.5
10/06/2016	71.7
10/07/2016	71.65
10/11/2016	71.45
10/12/2016	72.25
10/13/2016	71.7
10/14/2016	71.45
10/17/2016	71.45
10/18/2016	71.95
10/19/2016	72.35
10/20/2016	72.65
10/21/2016	72.6
10/24/2016	72.7
10/25/2016	73.4
10/26/2016	73
10/27/2016	72.6
10/28/2016	72.6
10/31/2016	72.6
11/01/2016	72.6
11/02/2016	71.75
11/03/2016	71.2
11/04/2016	71
11/07/2016	72
11/08/2016	72.35
11/09/2016	70
11/10/2016	72
11/11/2016	70.05
11/14/2016	70.1
11/15/2016	69.9
11/16/2016	70
11/17/2016	70.2
11/18/2016	70.4
11/21/2016	70.5
11/22/2016	71.45
11/23/2016	71.8
11/24/2016	71.4
11/25/2016	71.35
11/28/2016	71.75
11/29/2016	71.65
11/30/2016	71.7
12/01/2016	72
12/02/2016	71.2
12/05/2016	71.1
12/06/2016	72
12/07/2016	72
12/08/2016	72.9
12/09/2016	73.15
12/12/2016	72.85
12/13/2016	72.95
12/14/2016	73.1
12/15/2016	73
12/16/2016	72.3
12/19/2016	71.85
12/20/2016	71.75
12/21/2016	71.7
12/22/2016	70.8
12/23/2016	70.55
12/26/2016	70.8
12/27/2016	70.75
12/28/2016	71.6
12/29/2016	71.25
12/30/2016	71.8
01/03/2017	71.9
01/04/2017	71.85
01/05/2017	72.5
01/06/2017	72.65
01/09/2017	72.45
01/10/2017	72.4
01/11/2017	72.4
01/12/2017	73.15
01/13/2017	72.6
01/16/2017	72
01/17/2017	72.3
01/18/2017	72.15
01/19/2017	71.95
01/20/2017	72.15
01/23/2017	72.75
01/24/2017	73.3
02/02/2017	72.9
02/03/2017	72.85
02/06/2017	73.25
02/07/2017	73.3
02/08/2017	71.75
02/09/2017	72
02/10/2017	72.8
02/13/2017	72.95
02/14/2017	73.2
02/15/2017	73.9
02/16/2017	73.45
02/17/2017	73.35
02/18/2017	73.5
02/20/2017	73.1
02/21/2017	73.25
02/22/2017	73.3
02/23/2017	73.1
02/24/2017	73.15
03/01/2017	72.35
03/02/2017	72.55
03/03/2017	72.1
03/06/2017	72.15
03/07/2017	72.45
03/08/2017	72.85
03/09/2017	72.05
03/10/2017	72
03/13/2017	72.5
03/14/2017	73
03/15/2017	72.85
03/16/2017	73.8
03/17/2017	74
03/20/2017	73.95
03/21/2017	74.9
03/22/2017	74.2
03/23/2017	74.35
03/24/2017	74.25
03/27/2017	74.2
03/28/2017	74.25
03/29/2017	74
03/30/2017	73.9
03/31/2017	73.7
04/05/2017	74.65
04/06/2017	74.4
04/07/2017	74.1
04/10/2017	74.2
04/11/2017	73.9
04/12/2017	74.05
04/13/2017	74.4
04/14/2017	73.55
04/17/2017	73.6
04/18/2017	73.6
04/19/2017	72.8
04/20/2017	72.8
04/21/2017	73.5
04/24/2017	73.65
04/25/2017	74.35
04/26/2017	74.55
04/27/2017	74.5
04/28/2017	74.55
05/02/2017	75.2
05/03/2017	75.55
05/04/2017	75.65
05/05/2017	75.15
05/08/2017	75.7
05/09/2017	75.95
05/10/2017	76.25
05/11/2017	76.5
05/12/2017	76.3
05/15/2017	76.5
05/16/2017	76.5
05/17/2017	76.3
05/18/2017	75.9
05/19/2017	75.85
05/22/2017	76.05
05/23/2017	76.35
05/24/2017	76.3
05/25/2017	77
05/26/2017	76.95
05/31/2017	76.5
06/01/2017	76.9
06/02/2017	77.2
06/03/2017	77.4
06/05/2017	78
06/06/2017	77.95
06/07/2017	77.95
06/08/2017	78.25
06/09/2017	78
06/12/2017	77.15
06/13/2017	77.25
06/14/2017	76.85
06/15/2017	76.9
06/16/2017	77.7
06/19/2017	78.55
06/20/2017	79.45
06/21/2017	79.55
06/22/2017	79.75
06/23/2017	79.7
06/26/2017	81.4
06/27/2017	81.3
06/28/2017	80.55
06/29/2017	80.65
06/30/2017	80.4
07/03/2017	80.45
07/04/2017	80
07/05/2017	80.75
07/06/2017	80.4
07/07/2017	79.95
07/10/2017	80.35
07/11/2017	81.55
07/12/2017	81.55
07/13/2017	82.2
07/14/2017	82.05
07/17/2017	82.2
07/18/2017	82.4
07/19/2017	82.7
07/20/2017	82.65
07/21/2017	82.1
07/24/2017	82.3
07/25/2017	82.45
07/26/2017	82.15
07/27/2017	83
07/28/2017	82.1
07/31/2017	81.35
08/01/2017	81.8
08/02/2017	82.5
08/03/2017	82.2
08/04/2017	82.35
08/07/2017	82.95
08/08/2017	82.9
08/09/2017	82.15
08/10/2017	81.6
08/11/2017	81.25
08/14/2017	80.75
08/15/2017	81.3
08/16/2017	81
08/17/2017	81.65
08/18/2017	81.15
08/21/2017	81.05
08/22/2017	81.85
08/23/2017	81.75
08/24/2017	82.55
08/25/2017	82.7
08/28/2017	82.55
08/29/2017	82.3
08/30/2017	82.7
08/31/2017	82.95
09/01/2017	83
09/04/2017	82.85
09/05/2017	82.95
09/06/2017	82.6
09/07/2017	82.25
09/08/2017	82.7
09/11/2017	82.55
09/12/2017	82.85
09/13/2017	82.3
09/14/2017	82.35
09/15/2017	82.35
09/18/2017	83.15
09/19/2017	82.75
09/20/2017	82.2
09/21/2017	82.7
09/22/2017	81.6
09/25/2017	80.95
09/26/2017	80.3
09/27/2017	80.7
09/28/2017	80.4
09/29/2017	80.65
09/30/2017	81.2
10/02/2017	81.5
10/03/2017	81.5
10/05/2017	81.85
10/06/2017	82.1
10/11/2017	83.4
10/12/2017	84.2
10/13/2017	84.05
10/16/2017	84.5
10/17/2017	84.3
10/18/2017	84.6
10/19/2017	84.9
10/20/2017	84.55
10/23/2017	84.5
10/24/2017	84.4
10/25/2017	84.35
10/26/2017	84.25
10/27/2017	84.3
10/30/2017	84.95
10/31/2017	85.2
11/01/2017	85.1
11/02/2017	84.8
11/03/2017	84.7
11/06/2017	84.85
11/07/2017	85.3
11/08/2017	84.95
11/09/2017	84.4
11/10/2017	84.55
11/13/2017	84.3
11/14/2017	84.15
11/15/2017	83.3
11/16/2017	83.6
11/17/2017	84.35
11/20/2017	84
11/21/2017	84.75
11/22/2017	85.15
11/23/2017	85.2
11/24/2017	85.15
11/27/2017	84.15
11/28/2017	83.6
11/29/2017	83.7
11/30/2017	82.25
12/01/2017	82.6
12/04/2017	82.9
12/05/2017	82.25
12/06/2017	80.85
12/07/2017	80.9
12/08/2017	80.9
12/11/2017	81.5
12/12/2017	80.95
12/13/2017	81
12/14/2017	81.75
12/15/2017	81.1
12/18/2017	81.2
12/19/2017	80.8
12/20/2017	81.05
12/21/2017	81
12/22/2017	81.3
12/25/2017	81.45
12/26/2017	80.65
12/27/2017	80.9
12/28/2017	81.7
12/29/2017	82.15
01/02/2018	82.6
01/03/2018	83.35
01/04/2018	83.5
01/05/2018	83.75
01/08/2018	84.1
01/09/2018	84.15
01/10/2018	83.75
01/11/2018	83.4
01/12/2018	84.1
01/15/2018	84.65
01/16/2018	85
01/17/2018	85.15
01/18/2018	86.3
01/19/2018	87.15
01/22/2018	87.95
01/23/2018	88.3
01/24/2018	87.2
01/25/2018	87.45
01/26/2018	87.5
01/29/2018	85.55
01/30/2018	84.55
01/31/2018	84.65
02/01/2018	85.25
02/02/2018	84.9
02/05/2018	83.6
02/06/2018	79.65
02/07/2018	80.65
02/08/2018	80.6
02/09/2018	79.05
02/12/2018	79.7
02/21/2018	81.5
02/22/2018	81
02/23/2018	82
02/26/2018	82.4
02/27/2018	82.35
03/01/2018	81.75
03/02/2018	81.15
03/05/2018	80.75
03/06/2018	82.15
03/07/2018	81.8
03/08/2018	82.75
03/09/2018	82.85
03/12/2018	84.15
03/13/2018	84.95
03/14/2018	84.3
03/15/2018	84.25
03/16/2018	83.9
03/19/2018	83.85
03/20/2018	83.8
03/21/2018	83.85
03/22/2018	83.55
03/23/2018	82.1
03/26/2018	82.2
03/27/2018	83.4
03/28/2018	82.25
03/29/2018	82.1
03/30/2018	82.85
03/31/2018	82.95
04/02/2018	82.25
04/03/2018	81.5
04/09/2018	82.2
04/10/2018	82.5
04/11/2018	82.85
04/12/2018	82.5
04/13/2018	82.5
04/16/2018	82.3
04/17/2018	81.4
04/18/2018	81.6
04/19/2018	82.65
04/20/2018	80.75
04/23/2018	79.95
04/24/2018	79.55
04/25/2018	79.3
04/26/2018	79.05
04/27/2018	79.2
04/30/2018	80
05/02/2018	79.4
05/03/2018	78.55
05/04/2018	78.95
05/07/2018	79.5
05/08/2018	80
05/09/2018	80.45
05/10/2018	80.65
05/11/2018	81.6
05/14/2018	82.5
05/15/2018	81.65
05/16/2018	81.75
05/17/2018	81.2
05/18/2018	80.95
05/21/2018	82.05
05/22/2018	81.75
05/23/2018	81.35
05/24/2018	81.55
05/25/2018	81.85
05/28/2018	82.2
05/29/2018	81.85
05/30/2018	80.4
05/31/2018	80.75
06/01/2018	81.35
06/04/2018	82.6
06/05/2018	82.5
06/06/2018	83.3
06/07/2018	83.45
06/08/2018	82.55
06/11/2018	82.65
06/12/2018	82.5
06/13/2018	83
06/14/2018	81.75
06/15/2018	81.95
06/19/2018	80.6
06/20/2018	81.5
06/21/2018	81.25
06/22/2018	81.15
06/25/2018	80.9
06/26/2018	80.7
06/27/2018	80.4
06/28/2018	80.05
06/29/2018	81.45
07/02/2018	81.05
07/03/2018	81.15
07/04/2018	81.4
07/05/2018	80.75
07/06/2018	80.95
07/09/2018	82.25
07/10/2018	82.45
07/11/2018	81.7
07/12/2018	82.65
07/13/2018	83.35
07/16/2018	83
07/17/2018	82.55
07/18/2018	83.05
07/19/2018	83.3
07/20/2018	84.65
07/23/2018	84.55
07/24/2018	84.7
07/25/2018	84.75
07/26/2018	85
07/27/2018	85.7
07/30/2018	85.55
07/31/2018	85.55
08/01/2018	86.15
08/02/2018	84.85
08/03/2018	85.55
08/06/2018	85.7
08/07/2018	85.5
08/08/2018	86.15
08/09/2018	86.15
08/10/2018	85.7
08/13/2018	83.95
08/14/2018	84.55
08/15/2018	83.75
08/16/2018	83.8
08/17/2018	83.65
08/20/2018	83.95
08/21/2018	84.55
08/22/2018	84.65
08/23/2018	85.05
08/24/2018	84.8
08/27/2018	85.55
08/28/2018	86.25
08/29/2018	87.25
08/30/2018	87.55
08/31/2018	86.95
09/03/2018	86.45
09/04/2018	87
09/05/2018	87
09/06/2018	86.5
09/07/2018	86.4
09/10/2018	86
09/11/2018	85.65
09/12/2018	85.55
09/13/2018	84.95
09/14/2018	86.5
09/17/2018	85.85
09/18/2018	85.4
09/19/2018	86.15
09/20/2018	85.9
09/21/2018	86.85
09/25/2018	87.1
09/26/2018	86.9
09/27/2018	87.35
09/28/2018	86.9
10/01/2018	87.35
10/02/2018	86.05
10/03/2018	85.95
10/04/2018	84.9
10/05/2018	83.45
10/08/2018	83
10/09/2018	83.25
10/11/2018	77.4
10/12/2018	80.05
10/15/2018	79.2
10/16/2018	79.3
